path,class,split
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic92.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard305.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard53.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard42.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal141.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal394.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper21.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic267.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic141.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper422.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard113.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal123.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper42.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard79.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard76.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper207.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass244.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal249.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal31.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard15.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic181.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic31.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass155.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass111.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper283.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/trash/trash15.jpg,trash,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal89.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard384.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass222.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass253.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard78.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard228.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic331.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal374.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass213.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic80.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal225.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/trash/trash52.jpg,trash,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper487.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass144.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic61.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper30.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic35.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass72.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic353.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper417.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper224.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/metal/metal146.jpg,metal,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard30.jpg,cardboard,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper295.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper542.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass476.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass425.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper331.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/glass/glass449.jpg,glass,train
/home/claude/waste-classifier/data/dataset-resized/plastic/plastic416.jpg,plastic,train
/home/claude/waste-classifier/data/dataset-resized/paper/paper552.jpg,paper,train
/home/claude/waste-classifier/data/dataset-resized/cardboard/cardboard56.jpg,cardboard,train
